Id,Thesis,StudyProgram,KBK
67,Perbandingan klasifikasi kelompok bidang keahlian (KBK) teknik informatika menggunakan algoritma id3, cart, dan SVM / Sandy Setyawan,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
68,Perbandingan klasifikasi kelompok bidang keahlian (KBK) teknik informatika menggunakan algoritma gradient boosting, k-nearest neighbor, dan multinomial naive bayes / Mohamad Iqbal Firdaus,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
69,Klasifikasi Bahan Ajar Mata Pelajaran Bahasa Indonesia berdasarkan Tingkat Sekolah menggunakan Metode K-Nearest Neighbor / Oktavia Trian Azizah,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
70,Implementasi metode trend projection pada prediksi nilai tukar petani subsektor tanaman pangan di Provinsi Jawa Timur / Syahadian Yusril Isha,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
71,Implementasi algoritma K-Nearest Neighbors (KNN) pada pola klasifikasi penyakit tahunan di Kota Malang / Romi Azzam Hananta,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
72,Klasifikasi aromaterapi berbahan rempah-rempah Indonesia dengan menggunakan algoritma K-Nearest Neighbor / Maulia Wijiyanti Hidayah,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
73,Penerapan massively multiplayer online role-playing users pada museum virtual reality untuk mengatasi keterbatasan saat pandemi covid-19 / Rifqi Naufal Tohari,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
74,Penerapan search-based procedural content generation untuk perancangan level pada roguelike games menggunakan algoritma genetika / Ruri Ayyul Maulidya,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
75,Prediksi kemenangan tim permainan onmyoji arena berdasarkan log permainan menggunakan metode naive bayes classifier / Dimas Mohamad Jawaharal Nahru,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
76,Desain aplikasi web-GIS untuk perokok usia pelajar menggunakan ubiquitous learning / Rizky Trijaya Saputra,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
77,Kerabatani: ubiquitous smart farming platform dilengkapi sistem rekomendasi untuk meningkatkan produktivitas pertanian / Austin Fascal Iskandar,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
78,Perancangan buku multimedia interaktif sanggar doka tawa tana menggunakan metode design sprint / Yushivan Rendi Harviansyah,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
79,Pengembangan platform marketplace digital book terintegrasi berbasis design thinking / Rizki Indah Pertiwi,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
80,Pembelajaran sejarah dengan menggunakan metode augmented reality di Museum Universitas Negeri Malang / Aan Fachrul Abid,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
81,Implementasi load balancing pada infrastruktur learning management system umoocs dengan algoritme least connection / Ahmad Saufi Maulana,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
82,Optimasi klasifikasi pneumonia dengan algoritma convolutional neural network dan ceed-canny / Muhammad Bagus Zulmi,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
83,Pengembangan aplikasi emergency medical disaster response berbasis android untuk masyarakat yang berada di daerah rawan bencana alam tsunami / Alfian Eko Prastyo,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
