No,Judul,Tahun
154,Evaluasi penerapan kurikulum merdeka untuk menilai efisiensi pada mata pelajaran komputer dan jaringan dasar siswa kelas x tkj di smk,2023
155,Pengembangan media pembelajaran berbasis instagram dengan model pembelajaran sole (self organizing learning environment) untuk meningkatkan motivasi belajar peserta didik pada materi perangkat lunak pembuatan slide kelas x smk,2023
156,Pengembangan mobile learning berbasis gamifikasi dan problem based learning guna meningkatkan motivasi belajar pemodelan perangkat lunak siswa smk,2023
157,Media pembelajaran berbasis filter instagram dengan discovery learning untuk menumbuhkan motivasi belajar jaringan dasar bagi siswa di smk,2023
158,Perbedaan problem based learning dan inquiry learning melalui blended learning untuk meningkatkan critical thinking siswa smk,2023
159,Sentiment analysis ‘kampus merdeka’ pada twitter menggunakan model algoritma support vector machine (svm),2023
160,Efektivitas penggunaan aplikasi kahoot untuk meningkatkan minat belajar dan prestasi belajar peserta didik pada mata pelajaran komputer dan jaringan dasar smk,2023
161,Pengembangan learning management system berbasis webview dan flask untuk mengukur aksesibilitas belajar siswa smk kelas x dalam merdeka belajar mata pelajaran informatika,2023
162,Pengaruh penerapan model pembelajaran problem solving berbasis daring berbantuan lms edlink terhadap kemampuan berpikir kritis siswa smk brantas karangkates,2023
163,Rancang bangun progressive web apps dengan model problem based learning untuk meningkatkan minat belajar sistem komputer bagi siswa kelas x smk program keahlian teknik komputer dan jaringan,2023
164,Pengaruh model pembelajaran probing prompting terhadap keaktifan dan hasil belajar siswa kelas x tjkt pada materi sistem komputasi di smk negeri 1 bintan utara,2023
165,Pengembangan media pembelajaran berbasis strategy mobile game pada mata pelajaran informatika bermuatan problem based learning untuk siswa kelas x bidang keahlian teknik informasi dan komunikasi di smk,2023
166,Hubungan persepsi profesi guru dan efikasi diri (self-efficacy) terhadap minat menjadi guru pada mahasiswa s1 pti universitas negeri malang,2023
167,Pengembangan media pembelajaran berbasis video animasi pada mata pelajaran informatika untuk meningkatkan minat belajar siswa kelas x di smk,2023
168,Pengembangan e-modul bermuatan project-based learning pada mata pelajaran dasar-dasar desain komunikasi visual untuk mengetahui tingkat minat belajar peserta didik smk pgri 3 malang,2023
169,Media pembelajaran berbasis mobile menggunakan pendekatan open ended learning untuk meningkatkan minat belajar peserta didik pada mata pelajaran pemrograman dasar smk kompetensi keahlian rekayasa perangkat lunak,2023
170,Pengaruh penerapan micro-learning terintegrasi dengan instagram untuk membantu meningkatkan hasil belajar mata pelajaran informatika kelas x smk islam batu,2023
171,Pengembangan e-modul berbasis model pembelajaran discovery learning pada mata pelajaran dasar pengembangan perangkat lunak dan gim untuk peserta didik smk di kota malang,2023
172,Pengaruh penerapan model pembelajaran kooperatif team games tournaments terhadap motivasi belajar pada pelajaran sistem komputer siswa kelas x tkj smk nu sunan ampel poncokusumo,2023
173,Hubungan self efficacy dan pembelajaran tatap muka pasca pandemi terhadap kesiapan menjadi tenaga pendidik bidang ti bagi mahasiswa pendidikan teknik informatika,2023
174,Pengembangan media pembelajaran interaktif berbasis google sites bermuatan problem based-learning untuk meningkatkan motivasi belajar siswa di smk,2023
175,Pengembangan e-modul interaktif berbasis mobile pada mata pelajaran informatika sebagai media pembelajaran untuk meningkatkan motivasi belajar siswa kelas x di smk widyagama malang,2023
176,Pengembangan e-modul bermuatan project based learning untuk meningkatkan kreativitas peserta didik pada mata pelajaran karya desain dan proses produksi desain kelas x smk pgri 3 malang,2023
177,Implementasi micro-learning berbasis sosial media menggunakan virtual-youtuber pada mata pelajaran teknik komputer grafis,2023
178,Perbandingan minat belajar pada penerapan project based learning dan discovery learning peserta didik mata pelajaran informatika kelas X SMK NU 1 Karanggeneng,2024
179,Penerapan strategi pembelajaran aktif tipe student created case studies untuk meningkatkan hasil belajar siswa kelas X mapel dasar deskomvis di SMK Negeri 5 Malang,2024
180,"Pengembangan media pembelajaran untuk mata pelajaran produk kreatif dan kewirausahaan berbasis aplikasi TikTok pada siswa kelas XI program keahlian sistem informasi, jaringan, dan aplikasi (SIJA) di SMK Negeri 11 Malang",2024
181,Media pembelajaran interaktif berbasis multi platform pada mata pelajaran basis data jurusan rekayasa perangkat lunak di SMKN 9 Malang,2024
